x,y
0.000000,1.000000
0.010000,0.499097
0.020000,-0.001855
0.030000,-0.003708
0.040000,-0.005558
0.050000,-0.007403
0.060000,-0.009243
0.070000,-0.011075
0.080000,-0.012899
0.090000,-0.014713
0.100000,-0.016517
0.110000,-0.018309
0.120000,-0.020088
0.130000,-0.021852
0.140000,-0.023601
0.150000,-0.025332
0.160000,-0.027046
0.170000,-0.028740
0.180000,-0.030413
0.190000,-0.032064
0.200000,-0.033692
0.210000,-0.035295
0.220000,-0.036873
0.230000,-0.038424
0.240000,-0.039946
0.250000,-0.041439
0.260000,-0.042901
0.270000,-0.044331
0.280000,-0.045728
0.290000,-0.047090
0.300000,-0.048417
0.310000,-0.049706
0.320000,-0.050958
0.330000,-0.052170
0.340000,-0.053341
0.350000,-0.054471
0.360000,-0.055557
0.370000,-0.056600
0.380000,-0.057597
0.390000,-0.058548
0.400000,-0.059452
0.410000,-0.060307
0.420000,-0.061112
0.430000,-0.061866
0.440000,-0.062569
0.450000,-0.063219
0.460000,-0.063815
0.470000,-0.064356
0.480000,-0.064841
0.490000,-0.065269
0.500000,-0.065640
0.510000,-0.065952
0.520000,-0.066205
0.530000,-0.066397
0.540000,-0.066529
0.550000,-0.066598
0.560000,-0.066605
0.570000,-0.066548
0.580000,-0.066427
0.590000,-0.066242
0.600000,-0.065991
0.610000,-0.065674
0.620000,-0.065290
0.630000,-0.064840
0.640000,-0.064322
0.650000,-0.063735
0.660000,-0.063081
0.670000,-0.062358
0.680000,-0.061565
0.690000,-0.060703
0.700000,-0.059772
0.710000,-0.058770
0.720000,-0.057699
0.730000,-0.056557
0.740000,-0.055345
0.750000,-0.054063
0.760000,-0.052711
0.770000,-0.051288
0.780000,-0.049795
0.790000,-0.048232
0.800000,-0.046600
0.810000,-0.044898
0.820000,-0.043126
0.830000,-0.041286
0.840000,-0.039377
0.850000,-0.037400
0.860000,-0.035355
0.870000,-0.033243
0.880000,-0.031065
0.890000,-0.028820
0.900000,-0.026510
0.910000,-0.024136
0.920000,-0.021698
0.930000,-0.019197
0.940000,-0.016633
0.950000,-0.014008
0.960000,-0.011323
0.970000,-0.008579
0.980000,-0.005776
0.990000,-0.002916
1.000000,0.000000
